nct_id,drug_name_in_trial,resolves_to_bucket
NCT00000611,estrogens,estrogens
NCT00000612,estrogens,estrogens
NCT00000658,cyclophosphamide,cyclophosphamide
NCT00000658,dexamethasone,dexamethasone
NCT00000689,cyclophosphamide,cyclophosphamide
NCT00000689,dexamethasone,dexamethasone
NCT00000703,cyclophosphamide,cyclophosphamide
NCT00000703,dexamethasone,dexamethasone
NCT00000801,cyclophosphamide,cyclophosphamide
NCT00000801,dexamethasone,dexamethasone
NCT00001209,cyclophosphamide,cyclophosphamide
NCT00001209,ifosfamide VP-16,trastuzumab-qyyp
NCT00001337,cyclophosphamide,cyclophosphamide
NCT00001384,cyclophosphamide,cyclophosphamide
NCT00001426,cyclophosphamide,cyclophosphamide
NCT00001436,OncoLAR,irinotecan
NCT00001439,gp100 human melanoma peptide,gp100 human melanoma peptide
NCT00001442,paclitaxel concurrent,trastuzumab-qyyp
NCT00001446,thalidomide,velcade thalidomide dexamethasone
NCT00001475,thalidomide,velcade thalidomide dexamethasone
NCT00001495,irinotecan,irinotecan
NCT00001498,cyclophosphamide,cyclophosphamide
NCT00001524,thalidomide,velcade thalidomide dexamethasone
NCT00001705,GP100 peptide,gp100 human melanoma peptide
NCT00001832,cyclophosphamide,cyclophosphamide
NCT00001944,vinorelbine,tlc178
NCT00002003,mitoxantrone,mitoxantrone
NCT00002259,mitoxantrone,mitoxantrone
NCT00002461,cyclophosphamide,cyclophosphamide
NCT00002466,cyclophosphamide,cyclophosphamide
NCT00002471,cyclophosphamide,cyclophosphamide
NCT00002471,dexamethasone,dexamethasone
NCT00002474,cyclophosphamide,cyclophosphamide
NCT00002474,mitoxantrone,mitoxantrone
NCT00002475,cyclophosphamide,cyclophosphamide
NCT00002489,cyclophosphamide,cyclophosphamide
NCT00002494,cyclophosphamide,cyclophosphamide
NCT00002494,dexamethasone,dexamethasone
NCT00002501,cyclophosphamide,cyclophosphamide
NCT00002502,cyclophosphamide,cyclophosphamide
NCT00002509,cyclophosphamide,cyclophosphamide
NCT00002510,cyclophosphamide,cyclophosphamide
NCT00002514,cyclophosphamide,cyclophosphamide
NCT00002514,dexamethasone,dexamethasone
NCT00002517,dexamethasone,dexamethasone
NCT00002517,mitoxantrone,mitoxantrone
NCT00002521,cyclophosphamide,cyclophosphamide
NCT00002522,cyclophosphamide,cyclophosphamide
NCT00002524,cyclophosphamide,cyclophosphamide
NCT00002529,cyclophosphamide,cyclophosphamide
NCT00002534,cyclophosphamide,cyclophosphamide
NCT00002535,cyclophosphamide,cyclophosphamide
NCT00002542,cyclophosphamide,cyclophosphamide
NCT00002544,mitoxantrone,mitoxantrone
NCT00002547,cyclophosphamide,cyclophosphamide
NCT00002548,cyclophosphamide,cyclophosphamide
NCT00002548,dexamethasone,dexamethasone
NCT00002552,cyclophosphamide,cyclophosphamide
NCT00002553,cyclophosphamide,cyclophosphamide
NCT00002554,cyclophosphamide,cyclophosphamide
NCT00002556,cyclophosphamide,cyclophosphamide
NCT00002565,cyclophosphamide,cyclophosphamide
NCT00002565,mitoxantrone,mitoxantrone
NCT00002566,cyclophosphamide,cyclophosphamide
NCT00002571,cyclophosphamide,cyclophosphamide
NCT00002576,cyclophosphamide,cyclophosphamide
NCT00002576,mitoxantrone,mitoxantrone
NCT00002576,prednisolone,prednisolone
NCT00002579,cyclophosphamide,cyclophosphamide
NCT00002580,cyclophosphamide,cyclophosphamide
NCT00002581,cyclophosphamide,cyclophosphamide
NCT00002582,cyclophosphamide,cyclophosphamide
NCT00002583,vinorelbine ditartrate,tlc178
NCT00002590,cyclophosphamide,cyclophosphamide
NCT00002592,c-myb antisense oligonucleotide G4460,gp100 human melanoma peptide
NCT00002592,cyclophosphamide,cyclophosphamide
NCT00002594,cyclophosphamide,cyclophosphamide
NCT00002596,cyclophosphamide,cyclophosphamide
NCT00002598,cyclophosphamide,cyclophosphamide
NCT00002598,mitoxantrone,mitoxantrone
NCT00002600,cyclophosphamide,cyclophosphamide
NCT00002610,cyclophosphamide,cyclophosphamide
NCT00002611,cyclophosphamide,cyclophosphamide
NCT00002630,cyclophosphamide,cyclophosphamide
NCT00002634,cyclophosphamide,cyclophosphamide
NCT00002638,cyclophosphamide,cyclophosphamide
NCT00002643,cyclophosphamide,cyclophosphamide
NCT00002649,cyclophosphamide,cyclophosphamide
NCT00002657,cyclophosphamide,cyclophosphamide
NCT00002665,cyclophosphamide,cyclophosphamide
NCT00002665,dexamethasone,dexamethasone
NCT00002674,mitoxantrone,mitoxantrone
NCT00002675,cyclophosphamide,cyclophosphamide
NCT00002676,cyclophosphamide,cyclophosphamide
NCT00002676,dexamethasone,dexamethasone
NCT00002678,dexamethasone,dexamethasone
NCT00002679,cyclophosphamide,cyclophosphamide
NCT00002680,cyclophosphamide,cyclophosphamide
NCT00002689,dexamethasone,dexamethasone
NCT00002691,cyclophosphamide,cyclophosphamide
NCT00002691,dexamethasone,dexamethasone
NCT00002700,cyclophosphamide,cyclophosphamide
NCT00002700,dexamethasone,dexamethasone
NCT00002700,mitoxantrone,mitoxantrone
NCT00002700,prednisolone,prednisolone
NCT00002704,cyclophosphamide,cyclophosphamide
NCT00002704,dexamethasone,dexamethasone
NCT00002707,cyclophosphamide,cyclophosphamide
NCT00002716,dexamethasone,dexamethasone
NCT00002718,cyclophosphamide,cyclophosphamide
NCT00002719,mitoxantrone,mitoxantrone
NCT00002740,cyclophosphamide,cyclophosphamide
NCT00002744,cyclophosphamide,cyclophosphamide
NCT00002744,dexamethasone,dexamethasone
NCT00002755,cyclophosphamide,cyclophosphamide
NCT00002756,cyclophosphamide,cyclophosphamide
NCT00002757,cyclophosphamide,cyclophosphamide
NCT00002757,prednisolone,prednisolone
NCT00002766,cyclophosphamide,cyclophosphamide
NCT00002766,mitoxantrone,mitoxantrone
NCT00002773,cyclophosphamide,cyclophosphamide
NCT00002784,cyclophosphamide,cyclophosphamide
NCT00002785,cyclophosphamide,cyclophosphamide
NCT00002785,dexamethasone,dexamethasone
NCT00002788,cyclophosphamide,cyclophosphamide
NCT00002788,dexamethasone,dexamethasone
NCT00002789,cyclophosphamide,cyclophosphamide
NCT00002792,cyclophosphamide,cyclophosphamide
NCT00002798,cyclophosphamide,cyclophosphamide
NCT00002798,dexamethasone,dexamethasone
NCT00002802,cyclophosphamide,cyclophosphamide
NCT00002803,cyclophosphamide,cyclophosphamide
NCT00002805,mitoxantrone,mitoxantrone
NCT00002809,cyclophosphamide,cyclophosphamide
NCT00002812,cyclophosphamide,cyclophosphamide
NCT00002812,dexamethasone,dexamethasone
NCT00002813,vinorelbine,tlc178
NCT00002816,dexamethasone,dexamethasone
NCT00002822,cyclophosphamide,cyclophosphamide
NCT00002823,vinorelbine,tlc178
NCT00002829,cyclophosphamide,cyclophosphamide
NCT00002831,cyclophosphamide,cyclophosphamide
NCT00002835,cyclophosphamide,cyclophosphamide
NCT00002835,mitoxantrone,mitoxantrone
