drug_name_lower,currently_resolves_to_bucket,bucket_generic_name,trials_referencing_this_name
& cyclophosphamide,cyclophosphamide,cyclophosphamide,1
(((s)-1-carboxy-5-(6-fluoronicotinamido)pentyl)carbamoyl)-l-glutamic acid,[18f]-dcfpyl ligand,[18F]-DCFPyl Ligand,0
((18)f)fdopa,fluorodopa,fluorodopa,0
(+-)-bupivacaine,bupivacaine liposome,bupivacaine liposome,0
(+-)-mebeverine,mebeverine,mebeverine,0
(+-)-selenomethionine,selenomethionine,Selenomethionine,0
(+/-)-bupivacaine,bupivacaine liposome,bupivacaine liposome,0
(-)-paclitaxel,trastuzumab-qyyp,trastuzumab-qyyp,0
(177lu)lu-psma i&t,lutetium lu 177 jh020002,Lutetium Lu 177 JH020002,0
(177lutetium-dota(0)tyr3)octreotate,lutetium lu 177 dotatate,lutetium lu 177 dotatate,0
(18f)-2-fluoro-2-deoxy-d-glucose,fludeoxyglucose f-18,fludeoxyglucose f-18,0
(18f)dcfpyl,[18f]-dcfpyl ligand,[18F]-DCFPyl Ligand,0
(18f)facbc,fluorocholine,Fluorocholine,0
(18f)fdopa,fluorodopa,fluorodopa,0
(18f)fluoromethylcholine,fluorocholine,Fluorocholine,0
(18f)ge-148,fluorocholine,Fluorocholine,0
"(1r,3r)-1-amino-3(18f)fluorocyclobutane-1-carboxylic acid",fluorocholine,Fluorocholine,0
"(1s,2s,3r,4s,7r,9s,10s,12r,15s)-4-(acetyloxy)-15-{[(2r,3s)-3-{[(tert-butoxy)carbonyl]amino}-2-hydroxy-3-phenylpropanoyl]oxy}-1,9,12-trihydroxy-10,14,17,17-tetramethyl-11-oxo-6-oxatetracyclo[11.3.1.0^{3,10}.0^{4,7}]heptadec-13-en-2-yl benzoate",trastuzumab-qyyp,trastuzumab-qyyp,0
"(1s,3s)-3,5,12-trihydroxy-3-(hydroxyacetyl)-10-methoxy-6,11-dioxo-1,2,3,4,6,11-hexahydrotetracen-1-yl 3-amino-4-o-benzyl-2,3,6-trideoxy-alpha-l-lyxo-hexopyranoside",rta 744,RTA 744,0
"(2r,3r,4s,5r)-2-amino-3,4,5,6-tetrahydroxyhexanal hydrochloride",glucosamine hydrochloride,Glucosamine Hydrochloride,0
(2s)-2-((((1s)-1-carboxy-5-((6-(1?f)fluoropyridin-3-yl)formamido)pentyl)carbamoyl)amino)pentanedioic acid,[18f]-dcfpyl ligand,[18F]-DCFPyl Ligand,0
(2s)-2-[[(1s)-1-carboxy-5-[(6-fluoropyridine-3-carbonyl)amino]pentyl]carbamoylamino]pentanedioic acid,[18f]-dcfpyl ligand,[18F]-DCFPyl Ligand,0
"(2s)-2-amino-3-[2-((18)f)fluoro-4,5-dihydroxyphenyl]propanoic acid",fluorodopa,fluorodopa,0
(2s)-2-amino-4-(methylselanyl)butanoic acid,l-selenomethionine,L-selenomethionine,0
(2s)-2-amino-4-(methylseleno)butanoic acid,l-selenomethionine,L-selenomethionine,0
(2s)-2-amino-4-methylselanyl-butanoic acid,l-selenomethionine,L-selenomethionine,0
(2s)-2-amino-4-methylselanylbutanoic acid,l-selenomethionine,L-selenomethionine,0
(2s)-2-aminopentanedioic acid,glutamic acid,glutamic acid,0
(2s)-2-azaniumyl-4-methylselanylbutanoate,l-selenomethionine,L-selenomethionine,0
"(3r,4r,5s,6r)-3-amino-6-(hydroxymethyl)oxane-2,4,5-triol hydrochloride",glucosamine hydrochloride,Glucosamine Hydrochloride,0
(68)ga-labeled glu-urea-lys(ahx)-hbed-cc,[68ga]ga-psma,[68Ga]Ga-PSMA,0
(68)ga-psma,[68ga]ga-psma,[68Ga]Ga-PSMA,0
(68)ga-psma ligand glu-urea-lys(ahx)-hbed-cc,[68ga]ga-psma,[68Ga]Ga-PSMA,0
(68)gallium-psma ligand glu-urea-lys(ahx)-hbed-cc,[68ga]ga-psma,[68Ga]Ga-PSMA,0
(68ga) prostate-specific membrane antigen 11,[68ga]ga-psma,[68Ga]Ga-PSMA,0
(68ga)gapsma-11,[68ga]ga-psma,[68Ga]Ga-PSMA,0
(68ga)glu-urea-lys(ahx)-hbed-cc,[68ga]ga-psma,[68Ga]Ga-PSMA,0
"(7s,9s)-7-[(2r,4s,5s,6s)-4-amino-5-benzyloxy-6-methyl-tetrahydropyran-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7h-tetracene-5,12-dione",rta 744,RTA 744,0
"(7s,9s)-7-[(2r,4s,5s,6s)-4-amino-6-methyl-5-phenylmethoxyoxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7h-tetracene-5,12-dione",rta 744,RTA 744,0
