code,name,user_broad_cancer
LYMPH,Lymphoid,Hematological Malignancies
BREAST,Breast,Breast Cancer
EYE,Eye,Brain and Other Nervous System
BLADDER,Bladder/Urinary Tract,Bladder Cancer
LUNG,Lung,Lung Cancers
UTERUS,Uterus,Gynecological Cancers
OVARY,Ovary/Fallopian Tube,Gynecological Cancers
PANCREAS,Pancreas,Pancreatic Cancer
BILIARY_TRACT,Biliary Tract,Liver and Bile Duct Cancers
SKIN,Skin,Skin Cancers
LIVER,Liver,Liver and Bile Duct Cancers
MYELOID,Myeloid,Hematological Malignancies
VULVA,Vulva/Vagina,Gynecological Cancers
THYROID,Thyroid,Thyroid Cancer
CERVIX,Cervix,Gynecological Cancers
SOFT_TISSUE,Soft Tissue,Soft Tissue Cancers (including Heart)
BOWEL,Bowel,Colorectal Cancer
PENIS,Penis,Solid Tumors
PERITONEUM,Peritoneum,Gynecological Cancers
THYMUS,Thymus,Lung Cancers
ADRENAL_GLAND,Adrenal Gland,Adrenal Cancer and Neuroendocrine Tumors
TESTIS,Testis,Solid Tumors
KIDNEY,Kidney,Bladder Cancer
PLEURA,Pleura,Lung Cancers
HEAD_NECK,Head and Neck,Head and Neck Cancers
BRAIN,CNS/Brain,Brain and Other Nervous System
PROSTATE,Prostate,Prostate Cancer
AMPULLA_OF_VATER,Ampulla of Vater,Ampullary Adenocarcinoma
PNS,Peripheral Nervous System,Brain and Other Nervous System
BONE,Bone,Bone and Joint Cancers
OTHER,Other,Solid Tumors
STOMACH,Esophagus/Stomach,Esophageal Cancer
LBGN,Lymphoid Benign,Hematological Malignancies
LNM,Lymphoid Neoplasm,Hematological Malignancies
LATL,Lymphoid Atypical,Hematological Malignancies
PBS,Breast Sarcoma,Breast Cancer
BRAME,Adenomyoepithelioma of the Breast,Breast Cancer
BRCA,Invasive Breast Carcinoma,Breast Cancer
LCIS,Breast Lobular Carcinoma In Situ,Breast Cancer
JSCB,Juvenile Secretory Carcinoma of the Breast,Breast Cancer
BFN,Breast Fibroepithelial Neoplasms,Breast Cancer
IBC,Inflammatory Breast Cancer,Breast Cancer
BNNOS,"Breast Neoplasm, NOS",Breast Cancer
DCIS,Breast Ductal Carcinoma In Situ,Breast Cancer
MBC,Metaplastic Breast Cancer,Breast Cancer
