approved,hgnc_symbol,drugs_gained,moas_gained,confidence,sample_tokens,sample_drugs,sample_moas,top_broad_cancers,notes
,TOP1,218,62,0.99,dna topoisomerase i; ib6-directed antibody conjugated to top1; top1; topo i; topo-1,111in-etn029; 177lu-dtpa-sc16.56; 225ac-abd147; 225ac-etn029; 4scar dll3 t cells,adam9_topoisomerase1_targeted; atr_inhibitor; b7h3adc_dnatopoisomerase1_inhibitor; b7h4_top1_inhibitor; cd123_top1_targeted,Lung Cancers; Colorectal Cancer; Gynecological Cancers; Brain and Other Nervous System; Skin Cancers,
,CD20,204,26,1.0,cd20; cd20 cells; cd20 directed; cd20 monoclonal; cd20-directed,...; 1928z1xx trac t cell; 19ucart; 4scar20; 90y-hll2,bcl2_cd20_antibody; cd19_cd20_modulator; cd19_cd22_targeted; cd19_targeted; cd20_antibody,Hematological Malignancies; Brain and Other Nervous System; Lung Cancers; Skin Cancers; Bladder Cancer,
,TNFRSF17,173,25,1.0,bcma; bcma to kill myeloma cells; bcma x cd3 bispecific; bcma-directed cd3 t-cell engager; bcmaxcd3 t-cell engager,1928z1xx trac t cell; 19ucart; adct-402; allo-quadcar01-t; allogeneic anti-bcma car-transduced t cells,baffr_bcma_taci_targeted; bcma_agonist; bcma_based_mrna_therapeutic; bcma_cd16abispecific_antibody; bcma_cd19expressingcells_targeted,Hematological Malignancies; Bladder Cancer; Skin Cancers; Brain and Other Nervous System; Kidney (Renal) and Urethral Cancers,
,PDCD1,173,13,1.0,mrna vaccine with pd-1; pd-1 antagonist; pd-1 bispecific; pd-1 blocker; pd-1 blocking,89zr-lncab190; ab122; abbv-383; agen1423; agen2034,41bb_pd1antagonist_pdl1_agonist; ctla4_pd1monoclonal_antibody; erbb2_antibody; il21r_pd1blocker_agonist; mrnavaccinewithpd1_vegf_inhibitor,Lung Cancers; Skin Cancers; Gynecological Cancers; Breast Cancer; Colorectal Cancer,
,CD276,163,14,1.0,b7-h3; cd276; kills b7-h3 expressing cells,177lu-betabart; 1928z1xx trac t cell; 19ucart; 7mw3711; adct-402,b7h3_antibody; b7h3_binder; b7h3_dna_inhibitor; b7h3_egfrbispecific_antibody; b7h3_psma_targeted,Hematological Malignancies; Brain and Other Nervous System; Solid tumors; Lung Cancers; Skin Cancers,
,CD28,154,12,1.0,cd28; cd28 costimulatory bispecific; cd28 superagonist monoclonal,1928z1xx trac t cell; 19ucart; absk043; adct-402; adebelimab,41bb_cd28_cd3_targeted; cd19_targeted; cd28_agonist; cd28_cd3_muc17_modulator; cd28_cd80costimulatoryinteraction_blocker,Lung Cancers; Hematological Malignancies; Liver and Bile Duct Cancers; Gynecological Cancers; Breast Cancer,
,CD47,131,19,1.0,cd47; cd47 antigen,ab122; agen2034; ak104 lenvatinib; amg 404; ao-176,cd19_antibody; cd40_cd47_agonist; cd47_and_cd20_bispecific_fusion_protein; cd47_antagonist; cd47_antibody,Lung Cancers; Skin Cancers; Gynecological Cancers; Hematological Malignancies; Head and Neck Cancers,
,CD70,125,5,1.0,cd70,1928z1xx trac t cell; 19ucart; 4scar70; [18f]f-resca-rccb6; [68ga]ga-nota-r8b4,cd19_cd70_modulator; cd19_targeted; cd70_antibody; cd70_targeted; cd70_tgfb_blocker,Hematological Malignancies; Gynecological Cancers; Bladder Cancer; Kidney (Renal) and Urethral Cancers; Skin Cancers,
,IL18,119,6,1.0,il-18; interleukin-18,1928z1xx trac t cell; 19ucart; adct-402; allo-quadcar01-t; anti-cd19,cd19_targeted; cd274_blocker; il18_activator; il18_agonist; il18_muc16_targeted,Hematological Malignancies; Gastric (Stomach) Cancer; Esophageal Cancer; Skin Cancers; Bladder Cancer,
,IL6,116,3,1.0,il-6,1928z1xx trac t cell; 19ucart; adct-402; ald518; allo-quadcar01-t,cd19_targeted; il6_antagonist; il6_inhibitor,Hematological Malignancies; Skin Cancers; Bladder Cancer; Breast Cancer; Gynecological Cancers,
,ERBB3,113,15,1.0,erbb3; her3,18f-nota-aby-030; 89zr-patritumab deruxtecan; [89zr]panitumumab tracer; abt-414; abt-806,antigen_her3_targeted; bispecificegfr_her3_inhibitor; egfr_antibody; egfr_her2_her3_inhibitor; egfr_her3_modulator,Lung Cancers; Head and Neck Cancers; Skin Cancers; Brain and Other Nervous System; Pancreatic Cancer,
,FOLH1,112,28,1.0,internalized by psma; psma; psma extracellular domain; psma for cancer imaging; psma for imaging,111in-j591; 123-i-mip-1095; 161tb-lnc1011; 161tb-sibudab; 177lu rhpsma-10.1,b7h3_psma_targeted; ca9_psma_targeted; cd3bispecific_psma_antibody; dna_psma_targeted; fr_psma_targeted,Prostate Cancer; Bladder Cancer; Brain and Other Nervous System; Colorectal Cancer; Gynecological Cancers,
